Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Yodny Cajuste,OT,West Virginia,College Stats,6-5,312,,,32,,,,New England Patriots / 3rd / 101st pick / 2019
Deion Calhoun,OL,Mississippi State,College Stats,6-2,310,5.07,28.5,26,105,7.46,4.62,
Parris Campbell,WR,Ohio State,College Stats,6-0,205,4.31,40.0,11,135,,4.03,Indianapolis Colts / 2nd / 59th pick / 2019
Malik Carney,EDGE,North Carolina,College Stats,6-2,251,4.73,33.0,25,113,7.40,,
Blake Cashman,LB,Minnesota,College Stats,6-1,237,4.50,37.5,18,124,6.95,4.12,New York Jets / 5th / 157th pick / 2019
Hamp Cheevers,CB,Boston Col.,College Stats,5-9,169,4.52,39.0,8,122,6.96,4.25,
Demarcus Christmas,DL,Florida State,College Stats,6-3,294,5.08,25.5,22,101,8.13,5.07,Seattle Seahawks / 6th / 209th pick / 2019
L.J. Collier,DL,TCU,College Stats,6-2,283,4.91,30.0,25,118,7.71,4.78,Seattle Seahawks / 1st / 29th pick / 2019
John Cominsky,DL,Charleston,,6-5,286,4.69,33.5,22,116,7.03,4.38,Atlanta Falcons / 4th / 135th pick / 2019
Te'von Coney,LB,Notre Dame,College Stats,6-1,234,,,,,,,
Ryan Connelly,LB,Wisconsin,College Stats,6-2,242,4.66,34.5,,118,7.09,4.31,New York Giants / 5th / 143rd pick / 2019
C.J. Conrad,TE,Kentucky,College Stats,6-4,249,,,,,,,
Byron Cowart,DL,Maryland,College Stats,6-3,298,5.16,30.0,26,111,,,New England Patriots / 5th / 159th pick / 2019
Jonathan Crawford,S,Indiana,College Stats,6-1,205,,31.5,16,115,,,
Xavier Crawford,CB,Central Michigan,College Stats,5-11,187,4.48,37.5,11,,,,Houston Texans / 6th / 195th pick / 2019
Maxx Crosby,DL,East. Michigan,College Stats,6-5,255,4.66,36.0,,122,6.89,4.13,Oakland Raiders / 4th / 106th pick / 2019
Jamal Custis,WR,Syracuse,College Stats,6-4,214,4.50,34.5,,124,,,
Dennis Daley,OT,South Carolina,College Stats,6-5,317,5.23,26.5,20,103,7.95,4.92,Carolina Panthers / 6th / 212th pick / 2019
Davante Davis,CB,Texas,College Stats,6-2,202,4.57,37.0,14,125,6.76,4.15,
Deshaun Davis,LB,Auburn,College Stats,5-11,234,,31.0,25,111,,4.38,Cincinnati Bengals / 6th / 210th pick / 2019
Felton Davis,WR,Michigan State,College Stats,6-3,211,,,21,,,,
Jamal Davis,EDGE,Akron,College Stats,6-3,243,4.60,39.0,19,122,7.00,4.44,
Nate Davis,OL,Charlotte,College Stats,6-3,316,5.23,26.0,23,107,7.94,4.83,Tennessee Titans / 3rd / 82nd pick / 2019
Ryan Davis,WR,Auburn,College Stats,5-10,189,,35.0,12,124,7.09,4.23,
Jamel Dean,CB,Auburn,College Stats,6-1,206,4.30,41.0,16,130,7.02,4.19,Tampa Bay Buccaneers / 3rd / 94th pick / 2019
Michael Deiter,OL,Wisconsin,College Stats,6-5,309,5.23,28.0,21,105,7.88,4.81,Miami Dolphins / 3rd / 78th pick / 2019
Lukas Denis,S,Boston Col.,College Stats,5-11,190,4.64,33.5,16,116,6.89,4.09,
Andre Dillard,OT,Washington State,College Stats,6-5,315,4.96,29.0,24,118,7.44,4.40,Philadelphia Eagles / 1st / 22nd pick / 2019
D'Cota Dixon,S,Wisconsin,College Stats,5-10,204,4.81,33.5,20,119,,,
Johnnie Dixon,WR,Ohio State,College Stats,5-10,201,4.41,37.5,16,120,,4.43,
Tyrel Dodson,LB,Texas A&M,College Stats,6-0,237,4.60,,24,118,,,
Greg Dortch,WR,Wake Forest,College Stats,5-7,173,,,,,,,
Keelan Doss,WR,UC Davis,,6-2,211,,,8,,,,
Ashton Dulin,WR,Malone University (Ohio),,6-1,215,4.43,38.0,13,121,7.00,4.22,
Jovon Durante,WR,Florida Atlantic,College Stats,5-11,160,4.55,31.5,,120,7.00,4.31,
Chuma Edoga,OT,USC,College Stats,6-3,308,5.19,,21,,,,New York Jets / 3rd / 92nd pick / 2019
David Edwards,OT,Wisconsin,College Stats,6-6,308,5.28,25.5,,99,7.69,4.77,Los Angeles Rams / 5th / 169th pick / 2019
Mike Edwards,S,Kentucky,College Stats,5-10,205,,,,,,,Tampa Bay Buccaneers / 3rd / 99th pick / 2019
T.J. Edwards,LB,Wisconsin,College Stats,6-0,230,,,16,,,,
Emeke Egbule,LB,Houston,College Stats,6-2,245,4.65,33.0,20,119,7.38,4.38,Los Angeles Chargers / 6th / 200th pick / 2019
Bobby Evans,OT,Oklahoma,College Stats,6-4,312,5.20,,22,,,,Los Angeles Rams / 3rd / 97th pick / 2019
Noah Fant,TE,Iowa,College Stats,6-4,249,4.50,39.5,20,127,6.81,4.22,Denver Broncos / 1st / 20th pick / 2019
Rashad Fenton,CB,South Carolina,College Stats,5-11,193,4.52,34.0,12,117,,4.25,Kansas City Chiefs / 6th / 201st pick / 2019
Jazz Ferguson,WR,Northwestern St. (LA),College Stats,6-5,227,4.45,37.0,8,123,7.25,4.59,
Clelin Ferrell,EDGE,Clemson,College Stats,6-4,264,,,25,,7.26,4.40,Oakland Raiders / 1st / 4th pick / 2019
Mark Fields,CB,Clemson,College Stats,5-10,192,4.37,,18,,,,
Ryan Finley,QB,North Carolina State,College Stats,6-4,213,4.73,30.5,,116,7.20,4.20,Cincinnati Bengals / 4th / 104th pick / 2019
Nick Fitzgerald,QB,Mississippi State,College Stats,6-5,226,4.64,29.5,,115,,,
Cody Ford,OT,Oklahoma,College Stats,6-4,329,5.21,28.5,19,104,8.27,4.87,Buffalo Bills / 2nd / 38th pick / 2019
Jack Fox,P,Rice,College Stats,6-2,213,4.73,27.5,,114,,,
Hjalte Froholdt,OL,Arkansas,College Stats,6-5,306,5.20,27.5,31,105,7.51,4.54,New England Patriots / 4th / 118th pick / 2019
Travis Fulgham,WR,Old Dominion,College Stats,6-2,215,4.58,36.5,15,126,,,Detroit Lions / 6th / 184th pick / 2019
Lamont Gaillard,OL,Georgia,College Stats,6-3,305,,,,,,,Arizona Cardinals / 6th / 179th pick / 2019
Greg Gaines,DL,Washington,College Stats,6-1,312,5.16,31.0,30,109,,,Los Angeles Rams / 4th / 134th pick / 2019
Malik Gant,S,Marshall,College Stats,6-0,209,4.63,34.5,17,114,7.45,4.30,
Chauncey Gardner-Johnson,S,Florida,College Stats,5-11,210,4.48,36.0,17,117,7.03,4.20,New Orleans Saints / 4th / 105th pick / 2019
Rashan Gary,DL,Michigan,College Stats,6-4,277,4.58,38.0,26,120,7.26,4.29,Green Bay Packers / 1st / 12th pick / 2019
Myles Gaskin,RB,Washington,College Stats,5-9,205,4.58,35.5,24,118,7.19,4.27,Miami Dolphins / 7th / 234th pick / 2019
Matt Gay,K,Utah,College Stats,6-0,232,,,,,,,Tampa Bay Buccaneers / 5th / 145th pick / 2019
Zach Gentry,TE,Michigan,College Stats,6-8,265,4.90,29.5,12,110,7.40,4.53,Pittsburgh Steelers / 5th / 141st pick / 2019
Joe Giles-Harris,LB,Duke,College Stats,6-2,234,4.75,29.5,17,111,,,
Andrew Van ginkel,LB,Wisconsin,College Stats,6-3,241,,38.0,17,123,6.89,4.14,Miami Dolphins / 5th / 151st pick / 2019
Kevin Givens,DL,Penn State,College Stats,6-1,285,5.08,31.0,32,115,7.63,4.62,
Dan Godsil,LS,Indiana,College Stats,6-4,241,5.00,34.5,16,118,7.56,4.55,
Terry Godwin,WR,Georgia,College Stats,5-11,184,4.55,36.5,,117,6.96,,Carolina Panthers / 7th / 237th pick / 2019
Carl Granderson,EDGE,Wyoming,College Stats,6-5,254,4.79,35.0,,119,7.44,4.41,
Derwin Gray,OT,Maryland,College Stats,6-4,320,5.26,,26,90,,,Pittsburgh Steelers / 7th / 219th pick / 2019
Gerri Green,EDGE,Mississippi State,College Stats,6-4,252,4.63,35.0,24,114,7.27,4.42,Indianapolis Colts / 6th / 199th pick / 2019
Donnell Greene,OT,Minnesota,College Stats,6-5,335,,,,,,,
Ethan Greenidge,OL,Villanova,,6-4,327,,,,,,,
Dre Greenlaw,LB,Arkansas,College Stats,5-11,237,,33.0,24,117,,,San Francisco 49ers / 5th / 148th pick / 2019
Will Grier,QB,West Virginia,College Stats,6-2,217,4.84,34.0,,112,7.09,4.28,Carolina Panthers / 3rd / 100th pick / 2019
Porter Gustin,EDGE,USC,College Stats,6-4,255,4.69,35.5,31,119,,,
Emanuel Hall,WR,Missouri,College Stats,6-2,201,4.39,43.5,15,141,,,
Nate Hall,LB,Northwestern,College Stats,6-2,225,,,,,,,
Terez Hall,LB,Missouri,College Stats,6-1,230,,,20,,,,
Saquan Hampton,S,Rutgers,College Stats,6-1,206,4.48,,14,125,,,New Orleans Saints / 6th / 177th pick / 2019
Terrill Hanks,LB,New Mexico State,College Stats,6-2,242,4.98,35.5,21,118,,,
Chase Hansen,LB,Utah,College Stats,6-3,222,,,,,,,
Mecole Hardman,WR,Georgia,College Stats,5-10,187,4.33,36.5,17,119,,,Kansas City Chiefs / 2nd / 56th pick / 2019
Kelvin Harmon,WR,North Carolina State,College Stats,6-2,221,4.60,32.5,18,117,7.15,4.32,Washington Redskins / 6th / 206th pick / 2019
Damien Harris,RB,Alabama,College Stats,5-10,216,4.57,37.0,16,121,,,New England Patriots / 3rd / 87th pick / 2019
Will Harris,S,Boston Col.,College Stats,6-1,207,4.41,36.5,20,123,6.91,4.12,Detroit Lions / 3rd / 81st pick / 2019
N'Keal Harry,WR,Arizona State,College Stats,6-2,228,4.53,38.5,27,122,,,New England Patriots / 1st / 32nd pick / 2019
Montre Hartage,CB,Northwestern,College Stats,5-11,190,4.68,34.5,9,123,6.95,4.08,
Dwayne Haskins,QB,Ohio State,College Stats,6-3,231,5.04,28.5,,,,,Washington Redskins / 1st / 15th pick / 2019
Phil Haynes,OL,Wake Forest,College Stats,6-4,322,5.20,31.0,33,108,7.76,4.95,Seattle Seahawks / 4th / 124th pick / 2019
Daniel Helm,TE,Duke,College Stats,6-4,249,4.89,,14,,,,
Darrell Henderson,RB,Memphis,College Stats,5-8,208,4.49,33.5,22,121,,,Los Angeles Rams / 3rd / 70th pick / 2019
Nate Herbig,OL,Stanford,College Stats,6-3,335,5.41,24.0,29,90,8.15,5.04,
Karan Higdon,RB,Michigan,College Stats,5-9,206,4.49,34.0,21,123,,,
Justice Hill,RB,Oklahoma State,College Stats,5-10,198,4.40,40.0,21,130,,,Baltimore Ravens / 4th / 113th pick / 2019
Trysten Hill,DL,Central Florida,College Stats,6-3,308,5.04,35.0,28,115,7.70,4.38,Dallas Cowboys / 2nd / 58th pick / 2019
T.J. Hockenson,TE,Iowa,College Stats,6-5,251,4.70,37.5,17,123,7.02,4.18,Detroit Lions / 1st / 8th pick / 2019
Alijah Holder,CB,Stanford,College Stats,6-1,191,4.60,36.0,9,121,6.70,4.15,
Justin Hollins,EDGE,Oregon,College Stats,6-5,248,4.50,36.5,25,119,7.06,4.40,Denver Broncos / 5th / 156th pick / 2019
Elijah Holyfield,RB,Georgia,College Stats,5-10,217,4.78,29.5,26,118,,,
Travis Homer,RB,Miami (FL),College Stats,5-10,201,4.48,39.5,17,130,7.07,4.31,Seattle Seahawks / 6th / 204th pick / 2019
Amani Hooker,S,Iowa,College Stats,5-11,210,4.48,37.0,14,123,6.81,4.10,Tennessee Titans / 4th / 116th pick / 2019
Tytus Howard,OT,Alabama State,,6-5,322,5.05,29.5,21,103,8.34,4.87,Houston Texans / 1st / 23rd pick / 2019
Albert Huggins,DL,Clemson,College Stats,6-3,305,5.12,25.5,35,101,7.84,4.84,
Lil'Jordan Humphrey,WR,Texas,College Stats,6-4,210,4.75,33.5,13,119,7.09,4.29,
Jalen Hurd,WR,Baylor,College Stats,6-5,226,,,23,,,,San Francisco 49ers / 3rd / 67th pick / 2019
Mitch Hyatt,OT,Clemson,College Stats,6-5,303,,25.5,28,102,7.72,4.52,
Alec Ingold,FB,Wisconsin,College Stats,6-1,242,4.89,34.0,16,116,7.35,4.32,
Andy Isabella,WR,Massachusetts,College Stats,5-9,188,4.31,36.5,15,121,6.95,4.15,Arizona Cardinals / 2nd / 62nd pick / 2019
Martez Ivey,OL,Florida,College Stats,6-5,315,,,,,,,
Joe Jackson,DL,Miami (FL),College Stats,6-4,275,,27.0,22,109,,,Dallas Cowboys / 5th / 165th pick / 2019
Mike Jackson,CB,Miami (FL),College Stats,6-1,210,4.45,40.5,13,130,7.12,4.12,Dallas Cowboys / 5th / 158th pick / 2019
Tyree Jackson,QB,Buffalo,College Stats,6-7,249,4.59,34.5,,120,7.09,4.28,
Josh Jacobs,RB,Alabama,College Stats,5-10,220,,,,,,,Oakland Raiders / 1st / 24th pick / 2019
Andre James,OT,UCLA,College Stats,6-4,299,5.32,29.0,21,105,8.00,4.84,
Cece Jefferson,EDGE,Florida,College Stats,6-1,266,5.02,30.5,17,108,7.50,4.53,
Jalen Jelks,EDGE,Oregon,College Stats,6-5,256,4.92,32.5,19,113,7.22,4.59,Dallas Cowboys / 7th / 241st pick / 2019
Elgton Jenkins,OL,Mississippi State,College Stats,6-4,310,,28.0,29,109,7.77,4.62,Green Bay Packers / 2nd / 44th pick / 2019
Gary Jennings,WR,West Virginia,College Stats,6-1,214,4.42,37.0,20,127,7.32,4.15,Seattle Seahawks / 4th / 120th pick / 2019
Devon Johnson,OT,Ferris State,,6-7,338,5.16,27.5,26,89,8.34,5.28,
Anthony Johnson,WR,Buffalo,College Stats,6-2,209,,32.5,18,122,7.12,,
Darryl Johnson,EDGE,North Carolina A&T,,6-6,253,,,20,,,,Buffalo Bills / 7th / 225th pick / 2019
Diontae Johnson,WR,Toledo,College Stats,5-10,183,4.53,33.5,15,123,7.09,4.45,Pittsburgh Steelers / 3rd / 66th pick / 2019
Fred Johnson,OL,Florida,College Stats,6-7,326,,,,,,,
Gary Johnson,LB,Texas,College Stats,6-0,226,4.43,33.5,16,121,7.15,4.57,
Isaiah Johnson,CB,Houston,College Stats,6-2,208,4.40,36.5,,133,6.81,4.06,Oakland Raiders / 4th / 129th pick / 2019
Jaquan Johnson,S,Miami (FL),College Stats,5-10,191,4.69,33.0,18,121,,,Buffalo Bills / 6th / 181st pick / 2019
Keesean Johnson,WR,Fresno State,College Stats,6-1,201,4.60,30.0,14,117,7.28,4.23,Arizona Cardinals / 6th / 174th pick / 2019
Lonnie Johnson,CB,Kentucky,College Stats,6-2,213,4.52,38.0,15,129,7.01,4.10,Houston Texans / 2nd / 54th pick / 2019
Bisi Johnson,WR,Colorado State,College Stats,6-0,204,4.51,38.0,14,124,6.88,4.16,Minnesota Vikings / 7th / 247th pick / 2019
Daniel Jones,QB,Duke,College Stats,6-5,221,4.81,33.5,,120,7.00,4.41,New York Giants / 1st / 6th pick / 2019
Dre'Mont Jones,DL,Ohio State,College Stats,6-3,281,5.12,31.5,,110,7.71,4.53,Denver Broncos / 3rd / 71st pick / 2019
Jordan Jones,LB,Kentucky,College Stats,6-2,234,4.62,32.5,23,123,,4.37,
Tyler Jones,OT,North Carolina State,College Stats,6-3,306,,31.5,23,111,7.75,4.82,
Michael Jordan,OT,Ohio State,College Stats,6-6,312,5.27,32.5,19,116,7.71,4.71,Cincinnati Bengals / 4th / 136th pick / 2019
Kendall Joseph,LB,Clemson,College Stats,6-0,233,,,25,,,,
Vosean Joseph,LB,Florida,College Stats,6-1,230,,,,,,,Buffalo Bills / 5th / 147th pick / 2019
Kingsley Keke,DL,Texas A&M,College Stats,6-3,288,4.95,31.5,,111,7.55,4.46,Green Bay Packers / 5th / 150th pick / 2019
Brandon Knight,OT,Indiana,College Stats,6-4,314,,,,,,,
Dawson Knox,TE,Mississippi,College Stats,6-4,254,,34.5,16,,7.12,4.27,Buffalo Bills / 3rd / 96th pick / 2019
Tre Lamar,LB,Clemson,College Stats,6-3,253,,,,,,,
Dexter Lawrence,DL,Clemson,College Stats,6-4,342,5.05,,36,,,,New York Giants / 1st / 17th pick / 2019
Justin Layne,CB,Michigan State,College Stats,6-2,192,4.50,37.5,,134,6.90,4.09,Pittsburgh Steelers / 3rd / 83rd pick / 2019
Jonathan Ledbetter,DL,Georgia,College Stats,6-4,280,5.14,26.5,22,108,,,
Iman Lewis-Marshall,CB,USC,College Stats,6-1,207,4.53,,16,,,,Baltimore Ravens / 4th / 127th pick / 2019
Chris Lindstrom,OL,Boston Col.,College Stats,6-4,308,4.91,30.5,25,117,7.61,4.54,Atlanta Falcons / 1st / 14th pick / 2019
Greg Little,OT,Mississippi,College Stats,6-5,310,5.33,25.0,,113,,4.74,Carolina Panthers / 2nd / 37th pick / 2019
Drew Lock,QB,Missouri,College Stats,6-4,228,4.69,31.0,,112,7.03,4.12,Denver Broncos / 2nd / 42nd pick / 2019
Damarkus Lodge,WR,Mississippi,College Stats,6-2,202,4.55,33.5,11,119,7.06,4.53,
David Long,CB,Michigan,College Stats,5-11,196,4.45,39.5,15,120,6.45,3.97,Los Angeles Rams / 3rd / 79th pick / 2019
Bryce Love,RB,Stanford,College Stats,5-9,200,,,18,,,,Washington Redskins / 4th / 112th pick / 2019
Julian Love,CB,Notre Dame,College Stats,5-11,195,4.54,36.0,14,121,6.72,4.10,New York Giants / 4th / 108th pick / 2019
Alize Mack,TE,Notre Dame,College Stats,6-4,249,4.70,36.0,22,120,7.27,4.34,New Orleans Saints / 7th / 231st pick / 2019
Daylon Mack,DL,Texas A&M,College Stats,6-1,336,5.10,27.0,30,102,8.02,4.95,Baltimore Ravens / 5th / 160th pick / 2019
Alexander Mattison,RB,Boise State,College Stats,5-11,221,4.67,35.0,22,127,7.13,4.29,Minnesota Vikings / 3rd / 102nd pick / 2019
Erik McCoy,OL,Texas A&M,College Stats,6-4,303,4.89,31.0,29,107,8.28,4.62,New Orleans Saints / 2nd / 48th pick / 2019
Kaleb McGary,OT,Washington,College Stats,6-7,317,5.05,33.5,23,111,7.66,4.58,Atlanta Falcons / 1st / 31st pick / 2019
Connor McGovern,OL,Penn State,College Stats,6-5,308,,,28,112,7.66,4.57,Dallas Cowboys / 3rd / 90th pick / 2019
Mark McLaurin,S,Mississippi State,College Stats,6-1,212,4.77,36.0,12,,,4.46,
Terry McLaurin,WR,Ohio State,College Stats,6-0,208,4.35,37.5,18,125,7.01,4.15,Washington Redskins / 3rd / 76th pick / 2019
Trace McSorley,QB,Penn State,College Stats,6-0,202,4.57,33.0,,115,7.09,4.12,Baltimore Ravens / 6th / 197th pick / 2019
D.K. Metcalf,WR,Mississippi,College Stats,6-3,228,4.33,40.5,27,134,7.38,4.50,Seattle Seahawks / 2nd / 64th pick / 2019
Jakobi Meyers,WR,North Carolina State,College Stats,6-2,203,4.63,37.0,13,118,7.07,4.23,
Joshua Miles,OT,Morgan State,,6-5,314,5.32,36.0,,109,8.07,4.75,Arizona Cardinals / 7th / 248th pick / 2019
Christian Miller,EDGE,Alabama,College Stats,6-3,247,,38.5,,118,,,Carolina Panthers / 4th / 115th pick / 2019
Jordan Miller,CB,Washington,College Stats,6-1,186,4.49,37.0,6,125,,,Atlanta Falcons / 5th / 172nd pick / 2019
Shareef Miller,EDGE,Penn State,College Stats,6-4,254,4.69,29.5,16,,,4.45,Philadelphia Eagles / 4th / 138th pick / 2019
Gardner Minshew,QB,Washington State,College Stats,6-1,225,4.97,33.5,,116,7.14,4.45,Jacksonville Jaguars / 6th / 178th pick / 2019
Dillon Mitchell,WR,Oregon,College Stats,6-1,197,4.46,36.5,12,122,,4.29,Minnesota Vikings / 7th / 239th pick / 2019
David Montgomery,RB,Iowa State,College Stats,5-10,222,4.63,28.5,15,121,,,Chicago Bears / 3rd / 73rd pick / 2019
Jalin Moore,RB,Appalachian State,College Stats,5-10,212,,,27,,,,
Foster Moreau,TE,LSU,College Stats,6-4,253,4.66,36.5,22,121,7.16,4.11,Oakland Raiders / 4th / 137th pick / 2019
Stanley Morgan,WR,Nebraska,College Stats,6-0,202,4.53,38.5,14,125,6.78,4.13,
Trayvon Mullen,CB,Clemson,College Stats,6-1,199,4.46,34.5,,123,,,Oakland Raiders / 2nd / 40th pick / 2019
Byron Murphy,CB,Washington,College Stats,5-11,190,4.55,36.5,14,120,,,Arizona Cardinals / 2nd / 33rd pick / 2019
Kyler Murray,QB,Oklahoma,College Stats,5-10,207,,,,,,,Arizona Cardinals / 1st / 1st pick / 2019
Nyqwan Murray,WR,Florida State,College Stats,5-10,191,4.63,34.0,8,113,7.20,4.40,
Isaac Nauta,TE,Georgia,College Stats,6-3,244,4.91,28.0,19,,7.45,4.43,Detroit Lions / 7th / 224th pick / 2019
Anthony Nelson,DL,Iowa,College Stats,6-7,271,4.82,35.5,18,118,6.95,4.23,Tampa Bay Buccaneers / 4th / 107th pick / 2019
Yosh Nijman,OT,Virginia Tech,College Stats,6-7,324,,,27,114,8.07,4.50,
Bobby Okereke,LB,Stanford,College Stats,6-1,239,4.58,33.5,,122,7.25,4.26,Indianapolis Colts / 3rd / 89th pick / 2019
Ed Oliver,DL,Houston,College Stats,6-2,287,,36.0,32,120,,,Buffalo Bills / 1st / 9th pick / 2019
Josh Oliver,TE,San Jose State,College Stats,6-5,249,4.63,34.0,22,117,7.21,4.47,Jacksonville Jaguars / 3rd / 69th pick / 2019
Qadree Ollison,RB,Pittsburgh,College Stats,6-1,228,4.58,29.5,19,114,7.53,4.31,Atlanta Falcons / 5th / 152nd pick / 2019
